# id	left	top	right	bottom	texture_id
[SPRITES]
############### EMPTY SPRITE ###############
14150	25	563	48	590	50
14151	34	483	57	510	50
14152	349	563	390	590	50
14153	0	483	23	510	50

#PICKING RIGHT & LEFT
14154	320	522	343	551	50
14155	350	522	373	551	50
14156	381	522	404	551	50

14157	62	522	85	551	50
14158	32	522	55	551	50
14159	1	522	24	551	50

#KICKING
14160	246	482	269	511	50
14161	136	482	159	511	50

#DIE

########### TRANSFORM ANIMATION SPRITES ###########
#FROM SMALL TO BIG
#RIGHT

#To tron
15000	217	358	232	385	50
#Nho thang tay
15001	216	76	231	103	50
#Idle
15002	215	242	230	269	50

#LEFT

#To tron
15003	173	358	188	385	50
#Nho thang tay
15004	174	76	189	103	50
#Idle
15005	175	242	190	269	50

#FROM BIG TO RACCOON
15006	558	19	575	36	20
15007	573	19	590	36	20
15008	526	19	543	36	20
15009	543	19	560	36	20




# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	100	11322	100	11323	100
601	11311	100	11312	100	11313	100

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#FALLING RIGHT & LEFT
1093	11733	100
1094	11734	100

#HOLDING GOOMBA RIGHT & LEFT
#idle
1095	11735	100
1096	11738	100
#running
1097	11735	100	11736	100	11737	100
1098	11738	100	11739	100	11740	100
#jumping
1083	11737	100
1084	11740	100

#KICK
1085	11741	200
1086	11742	200

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#PICKING
1651	12612	100
1652	12611	100

#PICKING N RUNNING
1671	12612	100	12622	100
1672	12611	100	12621	100

#PICKING N JUMP
1681	12622	100
1682	12621	100

#KICKING
1693	12633	100
1694	12634	100

################### RACCOON #################
1700	14121	100
1701	14122	100

#WALKING RIGHT & LEFT
1702	14121	100	14123	100	14124	100
1703	14122	100	14125	100	14126	100

#RUNNING RIGHT & LEFT
1704	14129	100	14130	100	14131	100
1705	14132	100	14133	100	14134	100

#JUMP WALK RIGHT & LEFT
1706	14135	100
1707	14136	100

#JUMP RUN RIGHT & LEFT
1708	14121	100	14123	100	14124	100
1709	14122	100	14125	100	14126	100

#BRACE RIGHT & LEFT
1710	14127	100
1711	14128	100

#SIT RIGHT & LEFT
1712	14139	100
1713	14140	100

#FALLING RIGHT & LEFT
1714	14141	100
1715	14143	100

#FALLING WITH TAIL FLAP RIGHT & LEFT
1716	14141	75	14142	75
1717	14143	75	14144	75

#FALLING WITH TAIL CONTINUOUSLY FLAPPING RIGHT & LEFT
1720	14124	1	14142	20
1721	14126	1	14144	20

#ROTATING LEFT
1719	14150	75	14151	75	14152	75	14153	75	14150	75

#ROTATING RIGHT
1718	14146	75	14147	75	14148	75	14149	75	14146	75

#PICKING IDLE
1722	14154	100
1723	14157	100

#PICKING RUNNING
1724	14154	100	14155	100	14156	100
1725	14157	100	14158	100	14159	100

#PICKING JUMPING
1726	14156	100
1727	14159	100

#KICKING
1728	14160	100
1729	14161	100

########### TRANSFORM ###########
#SMALL TO BIG RIGHT
1800	15000	75	15001	75	15000	75	15001	75	15000	75	15001	75	15000	75	15002	75	15000	75	15002	75	15000	75	15002	75
#SMALL TO BIG LEFT
1801	15003	75	15004	75	15003	75	15004	75	15003	75	15004	75	15003	75	15005	75	15003	75	15005	75	15003	75	15005	75
#BIG TO RACCOON SMOKE
1802	15006	75	15007	75	15008	75	15009	75	15006	75

#BIG TO SMALL RIGHT
1803	15002	75	15000	75	15002	75	15000	75	15002	75	15000	75	15001	75	15000	75	15001	75	15000	75	15001	75	15000	75
#BIG TO SMALL LEFT
1804	15005	75	15003	75	15005	75	15003	75	15005	75	15003	75	15004	75	15003	75	15004	75	15003	75	15004	75	15003	75
